invoice,branch,city,member_type,gender,product _line,total,payment,gross_income,rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,548.9715,Ewallet,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,80.22,Cash,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,340.5255,Credit card,16.2155,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,489.048,Ewallet,23.288,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,634.3785,Ewallet,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,627.6165,Ewallet,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,433.692,Ewallet,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,772.38,Ewallet,36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,76.146,Credit card,3.626,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,172.746,Credit card,8.226,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,60.816,Ewallet,2.896,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,107.142,Cash,5.102,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,246.4875,Ewallet,11.7375,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,453.495,Ewallet,21.595,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,749.49,Cash,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,590.436,Cash,28.116,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,506.6355,Credit card,24.1255,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,457.443,Credit card,21.783,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,172.2105,Credit card,8.2005,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,84.63,Ewallet,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,451.71,Ewallet,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,277.137,Ewallet,13.197,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,69.72,Credit card,3.32,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,181.44,Ewallet,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,279.1845,Ewallet,13.2945,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,441.756,Credit card,21.036,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,35.196,Cash,1.676,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,184.107,Credit card,8.767,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,463.89,Cash,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,235.2105,Cash,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,494.1825,Credit card,23.5325,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,737.7615,Cash,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,703.752,Cash,33.512,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,202.818,Credit card,9.658,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,417.564,Ewallet,19.884,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,71.526,Ewallet,3.406,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,328.755,Ewallet,15.655,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,575.316,Ewallet,27.396,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,461.328,Ewallet,21.968,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,253.008,Cash,12.048,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,91.056,Ewallet,4.336,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,117.831,Cash,5.611,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,435.456,Cash,20.736,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,829.08,Cash,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,32.277,Cash,1.537,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,394.632,Cash,18.792,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,535.7205,Credit card,25.5105,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,189.0945,Ewallet,9.0045,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,119.259,Credit card,5.679,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,867.615,Ewallet,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,671.79,Cash,31.99,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,234.0975,Cash,11.1475,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,75.054,Ewallet,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,16.2015,Credit card,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,33.936,Ewallet,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,722.232,Cash,34.392,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,93.114,Cash,4.434,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,752.64,Ewallet,35.84,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,759.675,Cash,36.175,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,192.843,Cash,9.183,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,77.931,Credit card,3.711,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,351.099,Ewallet,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,520.4115,Ewallet,24.7815,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,166.005,Credit card,7.905,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,318.108,Cash,15.148,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,166.635,Cash,7.935,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,70.287,Ewallet,3.347,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,614.943,Ewallet,29.283,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,827.085,Cash,39.385,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,19.2465,Cash,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,939.54,Credit card,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,652.26,Cash,31.06,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,152.838,Ewallet,7.278,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,478.233,Cash,22.773,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,705.6315,Ewallet,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,437.325,Credit card,20.825,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,463.428,Credit card,22.068,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,189.0945,Credit card,9.0045,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,822.255,Ewallet,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,106.995,Cash,5.095,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,624.897,Credit card,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,304.542,Ewallet,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,161.7,Ewallet,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,337.512,Credit card,16.072,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,256.7775,Cash,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,610.491,Ewallet,29.071,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,401.73,Cash,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,362.943,Credit card,17.283,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,44.5935,Cash,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,485.037,Cash,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,198.996,Cash,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,471.03,Ewallet,22.43,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,161.553,Ewallet,7.693,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,608.202,Credit card,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,94.2375,Credit card,4.4875,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,102.018,Ewallet,4.858,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,922.635,Ewallet,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,78.435,Cash,3.735,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,166.1625,Ewallet,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,521.01,Cash,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,51.1455,Cash,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,742.2975,Cash,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,218.0115,Cash,10.3815,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,367.038,Cash,17.478,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,223.0725,Cash,10.6225,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,931.035,Ewallet,44.335,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,172.494,Credit card,8.214,7.9
